CODARCO;CODVIA;NOMEVIA;NUMQUART;Quartiere;Da;A;COD_NODO1;COD_NODO2;DATA_ISTIT;LUNGHEZ;CIVICO_MIN;ESPONENTE_;CIVICO_MAS;ESPONENTE0;CIVICO_MI0;ESPONENTE1;CIVICO_MA0;ESPONENTE2;Geo Point;Geo Shape;Codice nazionale Anncsu strada
528;41600;VIA GIACOMO FILIPPO NOVARO;16;Savena;VIA MICHELE AMARI;VIA CROCE DI CAMALDOLI;5728;5724;1991-10-21;68.0;10;;12;;3;;3;;44.466855061450566, 11.369172718713335;"{""coordinates"": [[11.369199973087563, 44.4671610118015], [11.369198107676889, 44.46711492110619], [11.36914305686133, 44.46654927683759]], ""type"": ""LineString""}";759656.0
529;12100;VIA CROCE DI CAMALDOLI;16;Savena;VIA ANTONIO PACINOTTI;VIA GIACOMO FILIPPO NOVARO;5724;5726;1991-10-21;58.0;6;;8;;;;;;44.46657779978914, 11.369505497933604;"{""coordinates"": [[11.36914305686133, 44.46654927683759], [11.369792976275184, 44.46660068647339], [11.369868091426932, 44.46660379044159]], ""type"": ""LineString""}";759088.0
530;1900;VIA MICHELE AMARI;16;Savena;VIA ANTONIO PACINOTTI;VIA GIACOMO FILIPPO NOVARO;5727;5728;1991-10-21;53.0;;;;;;;;;44.46718764233296, 11.36952976981625;"{""coordinates"": [[11.369859566544935, 44.467214272864425], [11.369199973087563, 44.4671610118015]], ""type"": ""LineString""}";760013.0
531;43100;VIA ANTONIO PACINOTTI;16;Savena;VIA MICHELE AMARI;VIA CROCE DI CAMALDOLI;5726;5727;1992-01-10;68.0;;;;;9;;11;;44.466908893033654, 11.369856536385592;"{""coordinates"": [[11.369868091426932, 44.46660379044159], [11.369863474020104, 44.46665059188163], [11.369850150874326, 44.46691213343946], [11.369859566544935, 44.467214272864425]], ""type"": ""LineString""}";758850.0
373;18000;VIA ANDREA COSTA;13;Porto - Saragozza;VIA GIUSEPPE PACCHIONI;VIA GAETANO BOTTRIGARI;4721;4718;1991-10-21;38.0;24;;28;C;39;;41;A;44.495025194031605, 11.325755692346519;"{""coordinates"": [[11.325517017526563, 44.495050173006305], [11.325994367166473, 44.495000215056905]], ""type"": ""LineString""}";758801.0
375;18000;VIA ANDREA COSTA;13;Porto - Saragozza;VIA DELL'ISONZO;VIA DEL CARSO;4710;4715;1991-10-21;66.0;42;;46;;63;2;69;B;44.49525237465064, 11.323602956558478;"{""coordinates"": [[11.323193650419741, 44.49529334939372], [11.324012262697213, 44.49521139990756]], ""type"": ""LineString""}";758801.0
377;52300;VIA SABOTINO;13;Porto - Saragozza;VIA LUIGI BUSI;VIA MONTENERO;4724;4711;1991-10-21;28.0;;;;;;;;;44.49712093950466, 11.321973176169088;"{""coordinates"": [[11.321797494631799, 44.49712959042631], [11.322148857706374, 44.49711228858303]], ""type"": ""LineString""}";760240.0
393;42400;VIA FRANCESCO ORIOLI;13;Porto - Saragozza;VIA SARAGOZZA;VIA ANTONIO ZOCCOLI;4547;4630;1991-10-21;120.0;2;;10;;3;;5;;44.489647583032394, 11.31610442611242;"{""coordinates"": [[11.315686346920144, 44.48921893753685], [11.31599555435386, 44.48948804509425], [11.316115872831448, 44.48960299782833], [11.316219916454413, 44.489714742632536], [11.316431962452475, 44.49014582344659]], ""type"": ""LineString""}";759584.0
395;10250;VIA EDOARDO BRIZIO;13;Porto - Saragozza;VIA ANDREA COSTA;VIA GIOVANNI BATTISTA MELLONI;4626;4627;1992-01-10;377.0;2;;54;;5;;27;;44.49386350706767, 11.320365143474845;"{""coordinates"": [[11.319520489476965, 44.492285971646076], [11.319792085470462, 44.49284548230043], [11.319944809447666, 44.49315174360671], [11.320227054875135, 44.493711900969664], [11.320324325669043, 44.49386082525841], [11.320420600515924, 44.493984634479936], [11.320494715364347, 44.4940812111219], [11.320633428170119, 44.49421169265576], [11.320689974778524, 44.49430863530961], [11.321195889484919, 44.49544427053481]], ""type"": ""LineString""}";759472.0
396;42150;VIA GINO ONOFRI;13;Porto - Saragozza;VIA MARIO BASTIA;VIA PAOLO GIOVANNI MARTINI;4606;4625;1991-10-21;144.0;10;;18;;5;;9;;44.491105963391206, 11.314468250215633;"{""coordinates"": [[11.31361373883014, 44.491313157531174], [11.315322761601127, 44.49089876925123]], ""type"": ""LineString""}";759676.0
