CODICE;Geo Point;Geo Shape
16730;44.50478213598257, 11.337835696114524;"{""coordinates"": [11.337835696114524, 44.50478213598257], ""type"": ""Point""}"
16731;44.50489895376041, 11.337709512144967;"{""coordinates"": [11.337709512144967, 44.50489895376041], ""type"": ""Point""}"
16732;44.50479446985448, 11.33750508877439;"{""coordinates"": [11.33750508877439, 44.50479446985448], ""type"": ""Point""}"
16747;44.50314058226315, 11.350749142636385;"{""coordinates"": [11.350749142636385, 44.50314058226315], ""type"": ""Point""}"
6216;44.49509195347554, 11.347504003460951;"{""coordinates"": [11.347504003460951, 44.49509195347554], ""type"": ""Point""}"
6254;44.493876086131316, 11.349926530634784;"{""coordinates"": [11.349926530634784, 44.493876086131316], ""type"": ""Point""}"
6246;44.49378088447325, 11.350631355770142;"{""coordinates"": [11.350631355770142, 44.49378088447325], ""type"": ""Point""}"
6247;44.49439030032325, 11.349936803289182;"{""coordinates"": [11.349936803289182, 44.49439030032325], ""type"": ""Point""}"
6268;44.495905076163524, 11.346319506112401;"{""coordinates"": [11.346319506112401, 44.495905076163524], ""type"": ""Point""}"
6366;44.487360264301415, 11.36443106149654;"{""coordinates"": [11.36443106149654, 44.487360264301415], ""type"": ""Point""}"
6387;44.480383388012015, 11.366140729462767;"{""coordinates"": [11.366140729462767, 44.480383388012015], ""type"": ""Point""}"
6388;44.48040109547464, 11.365588668230487;"{""coordinates"": [11.365588668230487, 44.48040109547464], ""type"": ""Point""}"
6382;44.479790755389935, 11.367045712218047;"{""coordinates"": [11.367045712218047, 44.479790755389935], ""type"": ""Point""}"
6393;44.48116981621168, 11.36611350681093;"{""coordinates"": [11.36611350681093, 44.48116981621168], ""type"": ""Point""}"
6381;44.479395330572515, 11.368071147582096;"{""coordinates"": [11.368071147582096, 44.479395330572515], ""type"": ""Point""}"
6383;44.48332279440466, 11.36755818142642;"{""coordinates"": [11.36755818142642, 44.48332279440466], ""type"": ""Point""}"
6406;44.4817720621109, 11.369713582357472;"{""coordinates"": [11.369713582357472, 44.4817720621109], ""type"": ""Point""}"
6397;44.4803392510221, 11.368772015227096;"{""coordinates"": [11.368772015227096, 44.4803392510221], ""type"": ""Point""}"
6408;44.48193098917772, 11.371197366522656;"{""coordinates"": [11.371197366522656, 44.48193098917772], ""type"": ""Point""}"
6404;44.48250911318455, 11.371512222691235;"{""coordinates"": [11.371512222691235, 44.48250911318455], ""type"": ""Point""}"
6399;44.481080156467776, 11.36922618033734;"{""coordinates"": [11.36922618033734, 44.481080156467776], ""type"": ""Point""}"
6413;44.480674369636645, 11.375947891345978;"{""coordinates"": [11.375947891345978, 44.480674369636645], ""type"": ""Point""}"
6426;44.482169540874864, 11.371334707834013;"{""coordinates"": [11.371334707834013, 44.482169540874864], ""type"": ""Point""}"
15403;44.481328136894504, 11.375451795184768;"{""coordinates"": [11.375451795184768, 44.481328136894504], ""type"": ""Point""}"
6427;44.482673219295094, 11.374045149772432;"{""coordinates"": [11.374045149772432, 44.482673219295094], ""type"": ""Point""}"
15406;44.48001489800771, 11.374462750889032;"{""coordinates"": [11.374462750889032, 44.48001489800771], ""type"": ""Point""}"
13061;44.47817914464744, 11.383605681108083;"{""coordinates"": [11.383605681108083, 44.47817914464744], ""type"": ""Point""}"
6738;44.476292850942336, 11.380438831200934;"{""coordinates"": [11.380438831200934, 44.476292850942336], ""type"": ""Point""}"
6747;44.47508032862646, 11.383933902353192;"{""coordinates"": [11.383933902353192, 44.47508032862646], ""type"": ""Point""}"
6748;44.47607133750424, 11.38314090629013;"{""coordinates"": [11.38314090629013, 44.47607133750424], ""type"": ""Point""}"
14599;44.50090124874208, 11.273584515407052;"{""coordinates"": [11.273584515407052, 44.50090124874208], ""type"": ""Point""}"
14602;44.504031866336305, 11.272974823097556;"{""coordinates"": [11.272974823097556, 44.504031866336305], ""type"": ""Point""}"
8450;44.50377039912664, 11.275435215623624;"{""coordinates"": [11.275435215623624, 44.50377039912664], ""type"": ""Point""}"
14604;44.50166037628096, 11.275421555781518;"{""coordinates"": [11.275421555781518, 44.50166037628096], ""type"": ""Point""}"
14607;44.50845441971462, 11.277359899179785;"{""coordinates"": [11.277359899179785, 44.50845441971462], ""type"": ""Point""}"
14613;44.50699707267361, 11.282316271278209;"{""coordinates"": [11.282316271278209, 44.50699707267361], ""type"": ""Point""}"
14617;44.499440618463325, 11.28837561654507;"{""coordinates"": [11.28837561654507, 44.499440618463325], ""type"": ""Point""}"
14619;44.49809759274695, 11.289287204463582;"{""coordinates"": [11.289287204463582, 44.49809759274695], ""type"": ""Point""}"
17586;44.4969347797366, 11.350080307342456;"{""coordinates"": [11.350080307342456, 44.4969347797366], ""type"": ""Point""}"
17600;44.50800856378524, 11.34622209063121;"{""coordinates"": [11.34622209063121, 44.50800856378524], ""type"": ""Point""}"
17630;44.49526896477104, 11.295226167129393;"{""coordinates"": [11.295226167129393, 44.49526896477104], ""type"": ""Point""}"
17579;44.5190583201286, 11.424787570452958;"{""coordinates"": [11.424787570452958, 44.5190583201286], ""type"": ""Point""}"
17565;44.495837270729375, 11.344543103600722;"{""coordinates"": [11.344543103600722, 44.495837270729375], ""type"": ""Point""}"
17587;44.51359641471632, 11.339212854424863;"{""coordinates"": [11.339212854424863, 44.51359641471632], ""type"": ""Point""}"
10269;44.49990205002272, 11.344512105894315;"{""coordinates"": [11.344512105894315, 44.49990205002272], ""type"": ""Point""}"
10251;44.50018637482981, 11.34296314213192;"{""coordinates"": [11.34296314213192, 44.50018637482981], ""type"": ""Point""}"
15172;44.501181511514496, 11.348229403816928;"{""coordinates"": [11.348229403816928, 44.501181511514496], ""type"": ""Point""}"
15174;44.50036219256327, 11.347804592442621;"{""coordinates"": [11.347804592442621, 44.50036219256327], ""type"": ""Point""}"
15185;44.5000469151978, 11.3490280376133;"{""coordinates"": [11.3490280376133, 44.5000469151978], ""type"": ""Point""}"
14522;44.51787057352233, 11.336163448089088;"{""coordinates"": [11.336163448089088, 44.51787057352233], ""type"": ""Point""}"
14523;44.51799141588606, 11.335424694771229;"{""coordinates"": [11.335424694771229, 44.51799141588606], ""type"": ""Point""}"
14534;44.50849494125755, 11.337020482033616;"{""coordinates"": [11.337020482033616, 44.50849494125755], ""type"": ""Point""}"
14546;44.510218471750754, 11.350654766734195;"{""coordinates"": [11.350654766734195, 44.510218471750754], ""type"": ""Point""}"
